,for_summing_by_experiments,RefID,PDF_retrieved,Reviewer,Approach_goal,Continent,Country_Province,Climate,study_location,Water_body,Primary_Threat_Identity,Salt_Iontype_Conductivity,State_Region,Physiographic_region,paper_focal_taxa,Taxonomic_classification,Specific_taxa,Level_ecological_organization,specific_response_metric,X20,Broader_response_categories,direction_effect,mean_control,mean_treatment,Life_stage,Units_response,background_concentration,Minimum_concentration_original,Maximum_concentration_original,Units_salt_concentration_original,Acute_Chronic,Duration_exposure,stats_direction_effect,Statistical_Analysis,mean_control_1,mean_treatment_1,Beta_estimate,standard_deviation,lower_CI,upper_CI,standard_error_beta,Correlation_Regression,p_values,Raw_values_response,Rate of change in salt (if applicaple),"Timing of exposure (e.g., season (winter, summer...), continuous)",Frequency_of_exposure,number_treatments_categories,number_replicates,number_per_replicate,Temperature,Notes on effect,Take home point,Author,Year,Paper Title,Journal,Extra notes,DataID,Measurement,SaltUnits,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm
53,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KHCO3,Colorado,NA,mixed,Fish,Pimephales promelas,population,24-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg KHCO3 /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,1,NA,Spearman-Karber,NA,NA,NA,NA,750 (min value),1340 (max value),NA,NA,NA,940 mg KHCO3 /L,NA,NA,steady,not stated (varies by salt),4,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3028,KHCO3,mg/L,NA,NA,220,10000
63,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,Colorado,NA,mixed,Fish,Pimephales promelas,population,48-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg KCl /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,750 (min value),1090 (max value),NA,NA,NA,910 mg KCl /L,NA,NA,steady,not stated (varies by salt),3,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3170,KCl,mg/L,NA,NA,220,10000
64,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,Colorado,NA,mixed,Fish,Pimephales promelas,population,48-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg K2SO4 /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,580 (min value),1170 (max value),NA,NA,NA,860 mg K2SO4 /L,NA,NA,steady,not stated (varies by salt),4,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3171,K2SO4,mg/L,NA,NA,220,10000
65,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KHCO3,Colorado,NA,mixed,Fish,Pimephales promelas,population,48-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg KHCO3 /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,2,NA,Spearman-Karber,NA,NA,NA,NA,750 (min value),880 (max value),NA,NA,NA,820 mg KHCO3 /L,NA,NA,steady,not stated (varies by salt),4,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3172,KHCO3,mg/L,NA,NA,220,10000
69,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KCl,Colorado,NA,mixed,Fish,Pimephales promelas,population,96-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg KCl /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,4,NA,Spearman-Karber,NA,NA,NA,NA,750 (min value),1020 (max value),NA,NA,NA,880 mg KCl /L,NA,NA,steady,not stated (varies by salt),3,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3254,KCl,mg/L,NA,NA,220,10000
70,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,Colorado,NA,mixed,Fish,Pimephales promelas,population,96-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg K2SO4 /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,4,NA,Spearman-Karber,NA,NA,NA,NA,510 (min value),880 (max value),NA,NA,NA,680 mg K2SO4 /L,NA,NA,steady,not stated (varies by salt),4,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3255,K2SO4,mg/L,NA,NA,220,10000
71,1,333,Yes,Carl,Evaluate how a saline solution's major-ion composition influences its toxicity to common ecotox test species,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,KHCO3,Colorado,NA,mixed,Fish,Pimephales promelas,population,96-h LC50,toxicological,Effect concentration,NA,NA,NA,juvenile,mg KHCO3 /L,~220 mg/L TDS (EPA moderately hard reconstituted water),220,10000,mg/L,Acute,4,NA,Spearman-Karber,NA,NA,NA,NA,<310 (min value),750 (max value),NA,NA,NA,<510 mg KHCO3 /L,NA,NA,steady,not stated (varies by salt),4,5,25,"Relative toxicities for this species: K>HCO3=~Mg>Cl>SO4. Na and Ca were not significant, suggesting that toxicity of Na and Ca salts was primarily attributable to the corresponding anion.",Salt toxicity concentration varies with major-ion composition of the salt,Mount et al,1997,"Statistical models to predict the toxicity of major ions to Ceriodaphnia dubia, Daphnia magna and Pimephales promelas (fathead minnows).",Environ Toxicol Chem,"This is a classic study, widely cited due to thorough documentation of individual ion effects. Corresponding LC50s also generated for two crustaceans, Daphnia Magna and Ceriodaphnia Dubia",3256,KHCO3,mg/L,NA,NA,220,10000
36,1,218,Yes,Sally,Selection of oviposition sites across various salt gradients in lab studies,North Amercia,United States,sub-tropical,Lab,petri dish,tolerance,KCl,Louisiana,Red River Valley,Insect,Insect,Aedes sollicitans,population,number and percent eggs laid,reproduction,Reproduction/Recruitment,negative,1407,214,adults,No.,NA,0.15,0.45,mg/l,acute,2,negative,none,1407,214,NA,NA,not provided,not provided,not provided,not provided,not given,"1407, 214",NA,NA,single,2,"5, 2",NA,NA,NA,NA,Petersen,1969,"VIPOSITION RESPONSE OF AEDES SOLL/CIT ANS, AEDES TAENIORHYNCHUS, AND PSOROPHORA CONFINNIS TO SEVEN INORGANIC SAL TS",mosquito news,NA,1628,KCl,mg/L,NA,NA,0.15,0.45
37,1,218,Yes,Sally,Selection of oviposition sites across various salt gradients in lab studies,North Amercia,United States,sub-tropical,Lab,petri dish,tolerance,KCl,Louisiana,Red River Valley,Insect,Insect,Aedes taeniorhynchus,population,number and percent eggs laid,reproduction,Reproduction/Recruitment,negative,574,55,adults,No.,NA,0.15,0.45,mg/l,acute,2,negative,none,574,55,NA,NA,not provided,not provided,not provided,not provided,not given,"574, 55",NA,NA,single,2,4,NA,NA,NA,NA,Petersen,1969,"VIPOSITION RESPONSE OF AEDES SOLL/CIT ANS, AEDES TAENIORHYNCHUS, AND PSOROPHORA CONFINNIS TO SEVEN INORGANIC SAL TS",mosquito news,NA,1633,KCl,mg/L,NA,NA,0.15,0.45
72,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,30,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,887,1166,not provided,not provided,<0.05,1017,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 30,3371,K2SO4,mg/L,NA,NA,220,10000
73,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,87,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,918,1248,not provided,not provided,<0.05,1070,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 90,3372,K2SO4,mg/L,NA,NA,20,174
74,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,141,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,857,1224,not provided,not provided,<0.05,1024,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 150,3373,K2SO4,mg/L,NA,NA,20,282
75,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,205,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1580,2069,not provided,not provided,<0.05,1808,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 210,3374,K2SO4,mg/L,NA,NA,20,410
76,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,212,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1107,1437,not provided,not provided,<0.05,1261,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,recon 210,3375,K2SO4,mg/L,NA,NA,20,424
77,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,95,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,789,1312,not provided,not provided,<0.05,1017,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,low ca:mg,3384,K2SO4,mg/L,NA,NA,20,190
78,1,339,Yes,Sally,lab study toxicity test using a mayfly exposed to different ion combinatins,North Amercia,United States,temperate,Lab,beaker,multiple: anthropogenic,K2SO4,NR,NR,Insect,Insect,Neocleon triangulifer,population,LC 50,toxicological,Effect concentration,NA,not provided,not provided,nymphs,mg anion / L,NA,10,93,mg/L CaCO3,acute,4,NA,Spearman-Karber method,not provided,not provided,NA,NA,1062,1275,not provided,not provided,<0.05,1164,NA,NA,steady,1,Not specified,Not specified,24.6-25.4,K2SO4,"he mayﬂy was particularly sensitive to Na2SO4, with the median lethal concentration (LC50) of 1338 mg SO4/L being lower than LC50s reported for 7 other species at that hardness. Increasing hardness of the dilution water from 30 to 150 mg/L (as CaCO3) resulted in doubling of LC50s for sodium salts, and an approximately 1.5-fold increase in LC50 for MgSO4.",Soucek et al,2018,"NA
",Environmental Toxicology,high ca:mg,3385,K2SO4,mg/L,NA,NA,20,186
